file;uncertain;quiteUncertain;veryUncertain;uncertainDensity;quiteUncertainDensity;veryUncertainDensity
1d388b4ac66e3eb641e9e2f3f0838d22953fa9ee/gui/src/test/scala/com/kristofszilagyi/sedito/gui/LearningCurve.scala;2;1;0;0.0011580775911986102;5.790387955993051E-4;0.0
1d388b4ac66e3eb641e9e2f3f0838d22953fa9ee/gui/src/test/scala/com/kristofszilagyi/sedito/gui/TestPass2.scala;305;47;23;0.012116637533767679;0.0018671539806133799;9.137136500873987E-4
1d388b4ac66e3eb641e9e2f3f0838d22953fa9ee/gui/src/test/scala/com/kristofszilagyi/sedito/gui/Train.scala;18;7;5;0.001736446073702489;6.752845842176346E-4;4.823461315840247E-4
1d388b4ac66e3eb641e9e2f3f0838d22953fa9ee/gui/src/test/scala/com/kristofszilagyi/sedito/gui/TrainAndDiff.scala;16;12;8;0.002130209026760751;0.0015976567700705631;0.0010651045133803754
1d388b4ac66e3eb641e9e2f3f0838d22953fa9ee/gui/src/test/scala/com/kristofszilagyi/sedito/gui/TrainPass2.scala;36;15;13;0.003994230555863752;0.001664262731609897;0.0014423610340619105
1d388b4ac66e3eb641e9e2f3f0838d22953fa9ee/gui/src/test/scala/com/kristofszilagyi/sedito/gui/WholeAlgorithmMeasurer.scala;4;2;1;0.0010735373054213634;5.367686527106817E-4;2.6838432635534085E-4
1d388b4ac66e3eb641e9e2f3f0838d22953fa9ee/gui/src/test/scala/com/kristofszilagyi/sedito/gui/WriteFeatures.scala;7;4;3;0.004864489228630994;0.002779708130646282;0.0020847810979847115
359af11879c8721af088f2ca9ab08b639d27b38a/gui/src/test/scala/com/kristofszilagyi/sedito/gui/TrainIterative.scala;503;150;74;0.010564341671392266;0.0031504001008128032;0.0015541973830676496
9f51fbdf6aaa0bb0b92b337aa34e88357a021694/gui/src/test/scala/com/kristofszilagyi/sedito/gui/TrainPass2.scala;79;23;13;0.01959811461175887;0.005705780203423468;0.0032250062019350038
d1faa884e7d3b6afcbe4ff9f78ae24a46692ace7/.idea/inspectionProfiles/Project_Default.xml;5;3;2;0.012658227848101266;0.007594936708860759;0.005063291139240506
d1faa884e7d3b6afcbe4ff9f78ae24a46692ace7/aligner/src/main/scala/com/kristofszilagyi/sedito/aligner/Metrics.scala;1;0;0;0.007352941176470588;0.0;0.0
d1faa884e7d3b6afcbe4ff9f78ae24a46692ace7/aligner/src/main/scala/com/kristofszilagyi/sedito/aligner/Pass1Aligner.scala;2;2;0;0.0016625103906899418;0.0016625103906899418;0.0
d1faa884e7d3b6afcbe4ff9f78ae24a46692ace7/gui/src/test/scala/com/kristofszilagyi/sedito/gui/TestPass2.scala;134;30;15;0.011630934814686225;0.0026039406301536323;0.0013019703150768162
d1faa884e7d3b6afcbe4ff9f78ae24a46692ace7/gui/src/test/scala/com/kristofszilagyi/sedito/gui/TrainAndDiff.scala;10;5;4;0.0048449612403100775;0.0024224806201550387;0.001937984496124031
bde7c3f2d18aaeb57ddfbfda576f2fc1367d2942/gui/src/test/scala/com/kristofszilagyi/sedito/gui/TrainPass2.scala;3;1;0;0.0012043356081894822;4.014452027298274E-4;0.0
70b5cfe4163d30e467d0c76ba6627b6659e5afaf/gui/src/test/scala/com/kristofszilagyi/sedito/gui/TestPass2.scala;134;50;33;0.03308641975308642;0.012345679012345678;0.008148148148148147
f86888f8a834d98eba905cd19270a4ea35d3654e/gui/src/test/scala/com/kristofszilagyi/sedito/gui/TrainPass2.scala;75;19;11;0.00790722192936215;0.0020031628887717447;0.0011597258829731155
b4881a73861d58ad51df85bcf05cf6c8e3c601fd/.travis.yml;0;0;0;0.0;0.0;0.0
775624df081d5e22184f3270e336f87a76add4c5/.travis.yml;2;1;1;0.18181818181818182;0.09090909090909091;0.09090909090909091
775624df081d5e22184f3270e336f87a76add4c5/build.sbt;0;0;0;0.0;0.0;0.0
775624df081d5e22184f3270e336f87a76add4c5/gui/src/test/scala/com/kristofszilagyi/sedito/gui/TestLineEndingPreservation.scala;7;0;0;0.0045691906005221935;0.0;0.0
775624df081d5e22184f3270e336f87a76add4c5/project/build.properties;2;0;0;0.13333333333333333;0.0;0.0
775624df081d5e22184f3270e336f87a76add4c5/project/plugins.sbt;2;0;0;0.003257328990228013;0.0;0.0
b81fc4b647eaf1303e70d7cfe380865508c408a5/aligner/src/test/scala/com/kristofszilagyi/sedito/aligner/Pass1MetricCalculatorTest.scala;18;9;6;0.004449938195302843;0.0022249690976514215;0.0014833127317676143
dc71b1d2dce840e2d954d3adb3f859f92c152567/aligner/src/main/scala/com/kristofszilagyi/sedito/aligner/Pass1Aligner.scala;2;0;0;0.002306805074971165;0.0;0.0
3f38d35f691d27c7467f741bb4e55663d616d33e/gui/src/test/scala/com/kristofszilagyi/sedito/gui/TrainPass2.scala;49;19;7;0.007463823305407464;0.002894135567402894;0.0010662604722010663
ec7550812b1e8c92e192deea38f0a3f0e92d13fa/gui/src/test/scala/com/kristofszilagyi/sedito/gui/TrainAndDiff.scala;12;6;4;0.003723239218119764;0.001861619609059882;0.0012410797393732546
ec7550812b1e8c92e192deea38f0a3f0e92d13fa/gui/src/test/scala/com/kristofszilagyi/sedito/gui/TrainPass2.scala;16;5;3;0.004703115814226925;0.0014697236919459142;8.818342151675485E-4
83a73fb664238cf93e6beefc3336ca56790e5389/aligner/src/main/scala/com/kristofszilagyi/sedito/aligner/Pass1Aligner.scala;57;22;14;0.010456796917996699;0.004035956705191708;0.002568336085121996
83a73fb664238cf93e6beefc3336ca56790e5389/gui/src/test/scala/com/kristofszilagyi/sedito/gui/FeatureElimination.scala;7;3;2;0.011494252873563218;0.0049261083743842365;0.003284072249589491
83a73fb664238cf93e6beefc3336ca56790e5389/gui/src/test/scala/com/kristofszilagyi/sedito/gui/LearningCurve.scala;2;0;0;0.0015372790161414297;0.0;0.0
83a73fb664238cf93e6beefc3336ca56790e5389/gui/src/test/scala/com/kristofszilagyi/sedito/gui/Train.scala;11;2;2;0.002410694718387026;4.3830813061582295E-4;4.3830813061582295E-4
83a73fb664238cf93e6beefc3336ca56790e5389/gui/src/test/scala/com/kristofszilagyi/sedito/gui/TrainAndDiff.scala;6;1;0;0.0022497187851518562;3.749531308586427E-4;0.0
e28b73b7ba2bf551b046c9140eab5a8067fb2d91/gui/src/main/scala/com/kristofszilagyi/sedito/gui/Main.scala;2;2;2;9.775171065493646E-4;9.775171065493646E-4;9.775171065493646E-4
e28b73b7ba2bf551b046c9140eab5a8067fb2d91/gui/src/test/scala/com/kristofszilagyi/sedito/gui/LearningCurve.scala;2;2;2;0.0010775862068965517;0.0010775862068965517;0.0010775862068965517
e28b73b7ba2bf551b046c9140eab5a8067fb2d91/gui/src/test/scala/com/kristofszilagyi/sedito/gui/TrainAndDiff.scala;4;1;1;0.002628120893561104;6.57030223390276E-4;6.57030223390276E-4
e28b73b7ba2bf551b046c9140eab5a8067fb2d91/gui/src/test/scala/com/kristofszilagyi/sedito/gui/WholeAlgorithmMeasurer.scala;6;2;2;0.002126151665485471;7.087172218284905E-4;7.087172218284905E-4
d16ba12ebafcba143ef9692bff676b08822f4c9d/gui/src/test/scala/com/kristofszilagyi/sedito/gui/FeatureElimination.scala;3;1;1;0.003125;0.0010416666666666667;0.0010416666666666667
d16ba12ebafcba143ef9692bff676b08822f4c9d/gui/src/test/scala/com/kristofszilagyi/sedito/gui/LearningCurve.scala;2;0;0;8.59106529209622E-4;0.0;0.0
d16ba12ebafcba143ef9692bff676b08822f4c9d/gui/src/test/scala/com/kristofszilagyi/sedito/gui/TrainAndDiff.scala;74;26;18;9.953059220702363E-4;3.497020807273803E-4;2.42101440503571E-4
d16ba12ebafcba143ef9692bff676b08822f4c9d/gui/src/test/scala/com/kristofszilagyi/sedito/gui/TrainingData.scala;4;0;0;0.0037105751391465678;0.0;0.0
d16ba12ebafcba143ef9692bff676b08822f4c9d/gui/src/test/scala/com/kristofszilagyi/sedito/gui/WholeAlgorithmMeasurer.scala;1;1;0;6.042296072507553E-4;6.042296072507553E-4;0.0
779305a33f967454617f31adffe41cb50bd0355a/aligner/src/main/scala/com/kristofszilagyi/sedito/aligner/Pass1MetricCalculator.scala;6;0;0;0.0011698186781048938;0.0;0.0
779305a33f967454617f31adffe41cb50bd0355a/gui/src/test/scala/com/kristofszilagyi/sedito/gui/TrainAndDiff.scala;49;7;0;0.0037776578521316784;5.396654074473826E-4;0.0
5347279e2a3c1acb267dc2c7ea9a1ef9210e9c4d/gui/src/test/scala/com/kristofszilagyi/sedito/gui/LearningCurve.scala;6;3;3;0.0018253726802555522;9.126863401277761E-4;9.126863401277761E-4
5347279e2a3c1acb267dc2c7ea9a1ef9210e9c4d/gui/src/test/scala/com/kristofszilagyi/sedito/gui/TrainAndDiff.scala;38;21;11;0.0016617833559277562;9.183539598548126E-4;4.8104255040013995E-4
5347279e2a3c1acb267dc2c7ea9a1ef9210e9c4d/gui/src/test/scala/com/kristofszilagyi/sedito/gui/WholeAlgorithmMeasurer.scala;1;1;1;4.8638132295719845E-4;4.8638132295719845E-4;4.8638132295719845E-4
8e1f57f8d252e1f98cdb8cf6ed583f59e374930e/gui/src/test/scala/com/kristofszilagyi/sedito/gui/LearningCurve.scala;3;2;1;0.0012776831345826234;8.517887563884157E-4;4.2589437819420784E-4
8e1f57f8d252e1f98cdb8cf6ed583f59e374930e/gui/src/test/scala/com/kristofszilagyi/sedito/gui/TrainAndDiff.scala;0;0;0;0.0;0.0;0.0
8e1f57f8d252e1f98cdb8cf6ed583f59e374930e/gui/src/test/scala/com/kristofszilagyi/sedito/gui/WholeAlgorithmMeasurer.scala;1;1;1;6.024096385542169E-4;6.024096385542169E-4;6.024096385542169E-4
33c5249ddbb1e511217e6ffe1df6bd755e07eb37/aligner/src/main/scala/com/kristofszilagyi/sedito/aligner/CandidateFinder.scala;2;1;1;0.007142857142857143;0.0035714285714285713;0.0035714285714285713
33c5249ddbb1e511217e6ffe1df6bd755e07eb37/aligner/src/main/scala/com/kristofszilagyi/sedito/aligner/LineAlignmentCacher.scala;2;2;2;0.004819277108433735;0.004819277108433735;0.004819277108433735
